milestone_id,family,support_type,nature,function,status,milestone_key,canonical_id,domain,name
0414,0414,modification code + runner,CODE,"Généralise les entrées/sorties segmentées aux axes x et y sur le chemin CUDA résident; crossing multi-axes chronologique, x8r quadriface, x8t généralisé, x8s séparable 1-D/2-D, gardes de coins/réservoirs et diagnostic low-face corrigé.",QUALIFIED,20260907-0414-segmented-xy,20260907-0414-segmented-xy,OPEN_BOUNDARY,Extension quadriface des open boundaries segmentées
0490A,0490,infrastructure,INFRA,"Introduit le registre multi-espèces et son échafaudage de diagnostics, base nécessaire aux traitements par espèce ultérieurs.",Jalon historique documenté,history:0490a,history:0490a,MULTISPECIES_RESAMPLING,Registre des espèces
0490B,0490,modification code,CODE,Ajoute le dépôt des populations par cellule et par espèce afin de disposer des grandeurs locales nécessaires au resampling multi-espèces.,Jalon historique documenté,history:0490b,history:0490b,MULTISPECIES_RESAMPLING,Dépôt cellule–espèce
0490C,0490,modification code,CODE,Introduit le resampling multi-espèces avec conservation explicite des bilans associés aux espèces.,Jalon historique documenté,history:0490c,history:0490c,MULTISPECIES_RESAMPLING,Resampling conservatif par espèce
0490D,0490,modification code,CODE,Rend la fermeture de masse du resampling consciente de la phase afin de préserver les bilans dans les cellules multi-espèces.,Jalon historique documenté,history:0490d,history:0490d,MULTISPECIES_RESAMPLING,Fermeture de masse sensible à la phase
0490E,0490,modification code,CODE,Ajoute une garde de population par espèce pour empêcher les états locaux non admissibles lors des opérations de resampling.,Jalon historique documenté,history:0490e,history:0490e,MULTISPECIES_RESAMPLING,Garde de population par espèce
0490F,0490,modification code,CODE,Étend le refill aux cellules contenant plusieurs espèces tout en conservant l'identité des populations.,Jalon historique documenté,history:0490f,history:0490f,MULTISPECIES_RESAMPLING,Refill d'espèces mixtes
0490G,0490,modification code,CODE,Introduit les transferts donneur–receveur spécifiques aux espèces dans la chaîne de resampling.,Jalon historique documenté,history:0490g,history:0490g,MULTISPECIES_RESAMPLING,Transferts donneur–receveur par espèce
0490H,0490,modification code,CODE,Porte sur CUDA le dépôt cellule–espèce requis par la chaîne multi-espèces.,Jalon historique documenté,history:0490h,history:0490h,MULTISPECIES_RESAMPLING,Dépôt cellule–espèce CUDA
0490I,0490,modification code,CODE,Porte sur CUDA la fermeture de masse par espèce de la chaîne de resampling.,Jalon historique documenté,history:0490i,history:0490i,MULTISPECIES_RESAMPLING,Fermeture de masse multi-espèces CUDA
