Catégorie,Champ canonique,Alias acceptés / formes liées,Type,Défaut,Valeurs possibles / contraintes,Condition d'activation / remarques,Signification,Source
I/O et exécution,inputState,,chemin,(obligatoire),chaîne non vide,Toujours obligatoire.,Fichier d’état initial .smpcd lu par l’exécutable.,simulation_params.h; params_io_base.cpp
I/O et exécution,outputDir,,chemin,run_base,chaîne non vide,,"Répertoire de sortie du run: summaries, dumps et fichiers associés.",simulation_params.h; params_io_base.cpp
I/O et exécution,summaryEvery,,entier,10,entier > 0,,Cadence d’écriture de summary_runtime.csv et d’affichage de progression.,simulation_params.h; params_io_base.cpp
I/O et exécution,dumpStateEvery,,entier,0,entier >= 0; 0 désactive les dumps périodiques,,Cadence d’écriture des états .smpcd pour post-traitement.,simulation_params.h; params_io_base.cpp
I/O et exécution,numThreads,,entier,0,entier >= 0; 0 laisse OpenMP décider,Pris en compte seulement si le binaire est compilé avec OpenMP.,Force omp_set_num_threads(numThreads).,simulation_params.h; params_io_base.cpp
Domaine et grille,Lx,,double,1.0,> 0,,Longueur du domaine numérique en x.,simulation_params.h; params_io_base.cpp
Domaine et grille,Ly,,double,1.0,> 0,,Longueur du domaine numérique en y.,simulation_params.h; params_io_base.cpp
Domaine et grille,Nx,,entier,32,> 0,,Nombre de cellules MPCD/projection en x.,simulation_params.h; params_io_base.cpp
Domaine et grille,Ny,,entier,32,> 0,,Nombre de cellules MPCD/projection en y.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidXMin0,,double,0.0,">= 0, dans [0,Lx]",Le domaine actif doit rester inclus dans la boîte numérique.,Borne x minimale initiale du domaine fluide actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidXMax0,,double,-1.0,-1 hérite de Lx; sinon > fluidXMin0 et <= Lx,"Si une frontière x est périodique, le domaine x doit être complet et statique.",Borne x maximale initiale du domaine fluide actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidYMin0,,double,0.0,">= 0, dans [0,Ly]",Le domaine actif doit rester inclus dans la boîte numérique.,Borne y minimale initiale du domaine fluide actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidYMax0,fluidYTop0,double,-1.0,-1 hérite de Ly; sinon > fluidYMin0 et <= Ly,"Si une frontière y est périodique, le domaine y doit être complet et statique.",Borne y maximale initiale du domaine fluide actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidXMinVelocity,,double,0.0,nombre réel fini,Incompatible avec une paire périodique x si non nul.,Vitesse imposée de la borne x minimale du domaine actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidXMaxVelocity,,double,0.0,nombre réel fini,Incompatible avec une paire périodique x si non nul.,Vitesse imposée de la borne x maximale du domaine actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidYMinVelocity,,double,0.0,nombre réel fini,Incompatible avec une paire périodique y si non nul.,Vitesse imposée de la borne y minimale du domaine actif.,simulation_params.h; params_io_base.cpp
Domaine actif mobile,fluidYMaxVelocity,fluidYTopVelocity,double,0.0,nombre réel fini,Incompatible avec une paire périodique y si non nul.,Vitesse imposée de la borne y maximale du domaine actif.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,dt,,double,1.0e-3,> 0,,Pas de temps MPCD/SRD.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,nSteps,,entier,1000,>= 0,,Nombre de pas de temps simulés.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,rotationAngle,alphaDeg,double,2.0943951023931953 rad,réel non NaN; alphaDeg converti en radians,,Angle de rotation SRD/MPCD.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,randomRotationSign,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Active le signe aléatoire de la rotation collisionnelle.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,gridShiftEnable,,booléen,true,booléen: true/1/yes/on ou false/0/no/off,,Active le décalage aléatoire de grille avant collision.,simulation_params.h; params_io_base.cpp
Temps et collision SRC,rngSeed,,uint64,12345,entier non signé 64 bits,,Graine de génération pseudo-aléatoire.,simulation_params.h; params_io_base.cpp
Forçage et contrôle d’écoulement,bodyAccelerationX,bodyForceX,double,0.0,nombre réel fini,,Accélération volumique uniforme appliquée en x avant streaming.,simulation_params.h; params_io_base.cpp
Forçage et contrôle d’écoulement,bodyAccelerationY,bodyForceY,double,0.0,nombre réel fini,,Accélération volumique uniforme appliquée en y avant streaming.,simulation_params.h; params_io_base.cpp
Forçage Taylor–Green,taylorGreenForcingEnable,tgForcingEnable,booléen,false,booléen: true/1/yes/on ou false/0/no/off,Restreint aux domaines périodiques x et y.,Active un forçage corporel périodique divergence-free de type Taylor–Green.,simulation_params.h; params_io_base.cpp
Forçage Taylor–Green,taylorGreenForcingAmplitude,tgForcingAmplitude; tgForceAmplitude,double,0.0,>= 0,Utilisé seulement si taylorGreenForcingEnable=true.,Amplitude A du forçage Taylor–Green.,simulation_params.h; params_io_base.cpp
Forçage Taylor–Green,taylorGreenForcingModeX,tgForcingModeX,entier,1,> 0,Utilisé seulement si taylorGreenForcingEnable=true.,Nombre d’onde entier en x du forçage Taylor–Green.,simulation_params.h; params_io_base.cpp
Forçage Taylor–Green,taylorGreenForcingModeY,tgForcingModeY,entier,1,> 0,Utilisé seulement si taylorGreenForcingEnable=true.,Nombre d’onde entier en y du forçage Taylor–Green.,simulation_params.h; params_io_base.cpp
